NGSS Topic,"Subtopics: 
Engineering
CCC",Word,Definition,NEW COLUMN - THREE RHYMES ONLY,Rhyming Heplers,Level of Difficulty,Number of Syllables,Broad Grade Level,SFUSD Grade,
S&E PRACTICES,Engineering,Constraint,limit of available materials and resources that influence your design solution to a given problem,"complaint, insane, contain, restrain, campaign",2,2,Middle School,6
S&E PRACTICES,Engineering,Criteria,the desired features of solution,"Siberia, my area, quite serious, cnidaria, hilarious, hysteria",3,4,Middle School,6
S&E PRACTICES,Engineering,Design,an iterative process that allows you to come up with solutions to problems,"refine, remind, combie, feline, allign, ",2,2,Middle School,6
S&E PRACTICES,Engineering,Engineer,"a person who designs, builds, or maintains solutions to real world problems","atmosphere, chandalier, hemisphere, perservere,  ",3,3,Middle School,6
S&E PRACTICES,Engineering,Iterate,"to test the most promising result, modify your design, and do it again!","calculate, cooperate, delegate, fabricate, graduate, heavyweight, accelerate, generate",3,3,Middle School,6
S&E PRACTICES,Engineering,Model,"a way to communicate and test design ideas - whether sketches, drawings, or physical","dawdle, oughta, aristotle, boondoggle, wobble, bottle",2,2,Middle School,6
S&E PRACTICES,Engineering,Impact,"the social, cultural, and environmental consequences of a given design may be constraints on the design","react, in tact, in fact, abstract, contract, adapt, unpack",2,2
S&E PRACTICES,Engineering,Limitation,a specific material or resource that may constraint your design,"litigation, precipitation, complication, constellation, education, mitigation",3,4
S&E PRACTICES,Engineering,Data,the measurable variables that allow scientists to get results and allow engineers to test designs,"beta, theta, fatal, Vegas, later, rated, greater",2,2
S&E PRACTICES,Engineering,Systematic,"following characteristic steps. In the case of engineering design, these include identifying problems and testing solutions","automatic, acrobatic, schematic, ecstatic",3,4
S&E PRACTICES,Engineering,Modify,"During the iterative cycle, an engineer will change (modify) a design based on how a prototype performs","alkali, codify, clarify, firefly, multiply, occupy, quantify, samurai, verify",3,3,Middle School,6
S&E PRACTICES,Engineering,Optimal,"the best or most favorable solution, which will depend on the design criteria (cost, performance, etc.)","audible, drop the ball, stop it all, logical, obstacle, possible, optional, probable, tropical",3,3,Middle School,6
S&E PRACTICES,Engineering,Precise,"exact - measurements, protocols, and words must be precise for engineering and science to proceed","sacrifice, advice, design, despite, ignite, revise, surprise",2,2,Middle School,6
S&E PRACTICES,Engineering,Refine,improve by making small changes,"define, remind, combie, feline, allign, ",2,2,Middle School,6
S&E PRACTICES,Engineering,Solution,one possible way to solve a design problem. engineers generally brainstorm many solutions and then test and iterate on the best ones,"pollution, dilution, constitution, evolution, resolution, conclusion, diffusion, illusion",3,3,Middle School,6
S&E PRACTICES,Engineering,Problem,a need or desire that can be solved by engineering design. Identifying this need or problem is an important part of the design process,"solve 'em, column, quantum, bottom, awesome, blossom, caution, common, ",2
S&E PRACTICES,Engineering,Test,"to measure the quality, performance, or reliability of a potential soution","best, blessed, chest, dressed, guest, messed, pest, quest, rest, stressed, west, , digest, protects, ",1,1,Middle School,6
S&E PRACTICES,CCC,Cause,the reason that something happens. a major part of science is to explore causal relationships - why do things happen?,"Claws, Santa Clause, paws, laws, pause, applause, ",1,2,Middle School,6
S&E PRACTICES,CCC,Effect,something happening due to a cause,"checked, wrecked, collect, correct, direct, elect, infect, inspect, perfect, subject",1,,Middle School,6
S&E PRACTICES,CCC,Function,to work or operate in a particular way (usually determined by an object's structure),"junction, dungeon, luncheon, pumpkin, suction, Tungsten, construction",2,2,Middle School,6
S&E PRACTICES,CCC,Proportion,"a part, share, or number considered in comparative relation to a whole","portion, torsion, contrortion, forces, courses, fortune, gorgeous",3,3,Middle School,6
S&E PRACTICES,CCC,Quantitity,the amount or number of a thing - something that can be measured numerically,"wannabe, botany, broccoli, coledy, comedy, honesty, policy, prodigy, quality, rocketry, astronomy",3,3,Middle School,6
S&E PRACTICES,CCC,Scale,"at different scales (or sizes), things may have different properties. Certain questions and problems need to be examined from certain - or sometimes multiple - scales","Braille, fail, flail, gale, grail, hail, mail, male, nail, pail, pale, quail, sail, sale, shale, snail, stale, taile, tale, trail, vale, whale, Yale",1,1,Middle School,6
S&E PRACTICES,CCC,Structure,the way in which an object or living thing is shaped,"juncture, mother, other, puncture, rupture, usher, another, constructor, ",2,2,Middle School,6
S&E PRACTICES,CCC,System,a set of connected things or parts forming a complex whole,"kissed him, list 'em, missed 'em, glisten, listen, mission, piston, prism, rhythm, symptom, twisted, victim, wisdom, written",2,2,Middle School,6
