NGSS Topic,"Subtopics: 
UNIVERSE
EARTH'S SYSTEM
EARTH & HUMANS",Word,Definition,Rhyming Heplers,Number of Syllables,Level of Difficulty,Broad Grade Level,SFUSD Grade,Definition?!
Earth,EARTH SYSTEMS,Air,"the invisible gaseous substance surrounding the earth, a mixture mainly of oxygen and nitrogen","bare, bear, care, chair, dare, fair, flair, hair, hare, heir, lair, pair, pear, prayer, rare, scare, spare, share, snare, spare,  square, stair, stare",1,1,Middle School,6,
Earth,EARTH SYSTEMS,Air Mass,large body of air that has the same characteristics of temperature and moisture content as the part of Earth’s surface over which it formed.,"tear gas, repairman, prayer mat, their last, Fairfax, fair chance, their hats, air sacs, wear hats, rare chance, forecast",2,3,,,
Earth,EARTH SYSTEMS,Altitude,"Height in space, relative to sea level or ground level.","amplitude, aptitude, attitude, gratitude, latitude, platitude, ",3,3,Middle School,6,
Earth,UNIVERSE,Asteroid,a piece of rock or metal made up of material similar to that which formed the planets; mostly found in the asteroid belt between the orbits of Mars and Jupiter.,"Freud, void, annoyed, avoid, destroyed, paranoid",3,2,,,
Earth,EARTH SYSTEMS,Atsmosphere,Layer of gases surrounding a star or planet.,"here, fear, cheer, dear, clear, mere, near, queer, sneer, year, spear, tear, we're",3,1,Middle School,6,
Earth,UNIVERSE,Axis,imaginary vertical line that cuts through the center of Earth and around which Earth spins.,"anaphylaxis, atlas, actions, cactus, France's, masses, practice, sadness, tactics, status, taxes",2,2,,,
Earth,HUMANS,CO2,colorless and odorless made of one Carbon and two Oxygens,"Need O2, creole food, Ego fuel, tuxedo suit, ",3,3,,,
Earth,HUMANS,Catastrophic,"involving or causing sudden great damage or suffering (i.e. earthquake, flood)","philosophic, awful, comic, frolic, logic, profit, tonic, toxic, topic, tropic, atomic, chaotic, ironic, tectonic, microsocopic",3,3,,,
Earth,EARTH SYSTEMS,Climate,"average weather conditions of an area over time, including wind, temperature, and rainfall or other types of precipitation such as snow or sleet.","climb it, rhyme it, client, crisis, diamond, giant, highest, lion, silent, quiet, riot, siren, timing horizon",2,2,Middle School,6,
Earth,HUMANS,Climate Change,"a change in global or regional climate patterns, attributed largely to the increased levels of carbon dioxide produced by the use of fossil fuels","slightest change, diaper change, wider range, tidal wave, diamond chain, hurricane",3,3,Middle School,6,
Earth,EARTH SYSTEMS,Cloud,a visible mass of condensed water vapor floating in the atmosphere,"crowd, how'd, loud, plowed, proud, shroud, aloud, ",1,1,,,
Earth,EARTH SYSTEMS,Complexity,the state or quality of being intricate or complicated,"Tech city, next to me, simplicity, breathlessly, enemy, chemistry, entity, entropy, pregnancy, selfishly, weaponry, velvety",3,3,,,
Earth,EARTH SYSTEMS,Condensation,process in which water vapor changes to a liquid.,"crystalization, causation, nation, station, causation, citation, creation, donation, elation, dalmation, filtration, formation, migration, narration, probation, space station, starvation, vacation, translation, vibration",4,3,Middle School,6,
Earth,EARTH SYSTEMS,continent,"any of the world's major landmasses (Africa, Antarctica, Asia, Australia, Europe, North America, South America)","not convinced, cognizant, communist, competent, condiemtn, confident, consequent, consulate, dominant, opposite, opulent, populist, ",3,2,,,
Earth,EARTH SYSTEMS,Coriolois,The Coriolois Effect causes moving air and water to turn left in the southern hemisphere and turn right in the northern hemisphere due to Earth’s rotation.,"goalless, Polish, bolus, soulless, auroras, no less, chorus, ehesaurus",4,3,Middle School,6,
Earth,EARTH SYSTEMS,Crystallization,the formation of solid crystals from a liquid,"condensation, causation, nation, station, causation, citation, creation, donation, elation, dalmation, filtration, formation, migration, narration, probation, space station, starvation, vacation, translation, vibration",3,3,,,
Earth,EARTH SYSTEMS,Cycle,a series of events that are regularly repeated in the same order,"Michael, recycle, Bible, bridal, final, idol, idle, primal, spinal, spiteful, tidal, title, trial, vital, viral, vinyl",2,2,Middle School,6,
Earth,EARTH SYSTEMS,Dam,#N/A,"Bam, cram, gram, ham, jam, lamb, ma'am, ram, scam, slam, spam",1,1,Middle School,6,
Earth,EARTH SYSTEMS,Density,measurement of the mass of an object divided by its volume.,"immensity, propensity, centrally, chemically, ecstasy, empathy, entropy, technically, heavily, helpfully, readily, speciality, especially, sensory",3,3,Middle School,6,
Earth,HUMANS,Drought,#N/A,"about, doubt, flout, scout, pout, shout, trout, spout, stout, sprout",1,1,,7,
Earth,EARTH SYSTEMS,Earth,#N/A,"birth, dearth, mirth, dirt, blurt, flirt, squirt, spirt, worth",1,1,Middle School,6,
Earth,UNIVERSE,Earth,#N/A,"birth, dearth, mirth, dirt, blurt, flirt, squirt, spirt, worth",1,1,Middle School,6,
Earth,HUMANS,Earth,#N/A,"birth, dearth, mirth, dirt, blurt, flirt, squirt, spirt, worth",1,1,Middle School,6,
Earth,HUMANS,Earthquake,vibrations produced when rocks break along a fault.,"ache, bake, brake, flake, lake, snake, stake, wake, shake",2,1,,,
Earth,UNIVERSE,Eliptical,#N/A,"typical, cynical, biblical, pinnacle, cyclical, fictional, imbecile, miserable, physical, principle, unthinkable, visual",4,3,,,
Earth,EARTH SYSTEMS,Energy,#N/A,"enemy, centrally, cleverly, effigy, elderly, entropy, elegy, generally, memory, jeopardy",3,3,,7,
Earth,HUMANS,Engineering,#N/A,"chearing, clearing, earring, gearing, fearing, sneering, appearing, interfering, volunteering, ball barring, engine blaring, caring",4,3,,,
Earth,EARTH SYSTEMS,Erosion,"process in which surface materials are worn away and transported from one place to another by agents such as gravity, water, wind, and glaciers.","explosion, corrosion, potion, ocean broken, chosen, frozen, spoken",3,3,,,
Earth,HUMANS,Flood,#N/A,"blood, bud, dud, HUD, mud, spud, stud, thud",1,1,,7,
Earth,EARTH SYSTEMS,Flow,#N/A,"crow, dough, foe, fro, glow, go, grow, know, low, mow, no, owe, status quo, snow, though, throw, whoa, yo",1,1,Middle School,6,
Earth,HUMANS,Food,#N/A,"brood, chewed, brewed, dude, crude, feud, glued, mood, rude, skewed, stewed, sued, viewed, you'd",1,1,,,
Earth,UNIVERSE,Force,#N/A,"coarse, course, hoarse, horse, source, Morse, Norse, enforce, indorse, courts, shorts",1,1,,,
Earth,HUMANS,Forecast,#N/A,"asked, blast, cast, fast, amassed, past, vast",2,1,,,
Earth,HUMANS,Forest Fire,#N/A,"dire, hire, choir, shire, wire, admire, aspire, liar, pyre, prior, retire, tire, acquire",3,1,,,
Earth,UNIVERSE,Formation,#N/A,"causation, nation, station, causation, citation, creation, donation, elation, dalmation, filtration, formation, migration, narration, probation, space station, starvation, vacation, translation, vibration",3,3,,,
Earth,HUMANS,Fossil Fuel,#N/A,"cool, curel, dual, fool, ghoul, jewel, Joule, mule, pool, rule, school, spool, stool, tool, You'll, ",3,1,Middle School,6,
Earth,HUMANS,Fossil,#N/A,"colossal, docile, jostle, apostle, , awesome, awful, hostile, novel, throttle, topple, waffle, wobble",2,2,,7,
