NGSS Topic,"Subtopics: 
MATTER
FORCES
ENERGY
WAVES",Word,Definition,Rhyming Heplers,Level of Difficulty,Number of Syllables,Broad Grade Level,SFUSD Grade
Physical,Waves,Absorb,"take in or soak up - radiation, light","aboard, afford, ignore, adore, before, distort, conform, perform, reform, transport, reward",2,2,Middle School,
Physical,Matter,Ammonia,"a colorless gas with a strong smell, formula NH3, often used as a cleaning agent","aroma, corona, persona, California, Begonia, Pneumonia, Catalonia,",3,3,Middle School,
Physical,Waves,Amplitude,a measure of the energy carried by a wave.,"altitude, aptitude, gratitude, latitude, magnitude, platitude",3,3,Middle School,
Physical,Matter,Atom,"tiny building block of matter, made up of protons, neutrons, and electrons.","stratum, Adam, anthem, chasm, fathom, flatten, madame, random,",2,2,Middle School,7
Phsyical,Forces,Attraction,#N/A,"action, faction, fraction, abstraction, traction, extraction, distraction, transaction, actin, flashing, crashing, passion, assassin",2,3,Middle School,
Phsyical,Forces,Balanced,#N/A,"valence, challenge, ballast, ballot, banished, callous, gallon, palace, planet, talons",2,2,Middle School,
Physical,Matter,Ball and Stick,#N/A,"brick, kick, atomic, sick, trick, pic, wick, thick, Robin Thicke, Model It",1,3,Middle School,
Physical,Matter,Boil,#N/A,"coil, toil, foil, oil, soil, spoil, recoil, ",1,1,Middle School,
Physical,Matter,Burn,#N/A,"churn, earn, fern, learn, turn, urn, adjourn, concern",1,1,Middle School,
Physical,Forces,Car,#N/A,"bar, far, jar, par, scar, spar, star, tar, czar, bizarre, ",1,1,Middle School,
Physical,Matter,Change of State,#N/A,"rate, trait, ate, bait, crate, date, eight, fate, freight, great, grate, hate, mate, plate, wait, weight, floodgate",1,3,Middle School,
Physical,Matter,Chemical,#N/A,"bendable, festival, testable, flexible, edible, legible, medical, decimal, credible, plentiful, skeletal, skeptical, technical, vegetable",2,3,Middle School,7
Physical,Matter,CO2,#N/A,"blew, blue, boo, boo hoo, chew, coup, flew, flu, glue, grew, knew, screw, shoe, sue, through, threw, ",1,3,Middle School,
Physical,Forces,Collide,#N/A,"abide, implied, aside, besides, decide, denied, fluoride, denied, inside, reside, subside",2,2,Middle School,
Physical,Waves,Color,#N/A,"duller, scholar, cover, recover, clutter, gutter, rubber, hover, luster, mother, other, , stutter, utter",2,2,Middle School,
Physical,Matter,Composition,#N/A,"fission, mission, precision, listen, ambition, addition, clinician, cognition, edition, emission, musician, permission, position, suspicion, transmission",3,4,Middle School,
Physical,Matter,Conservation,careful use of resources to reduce damage to the environment though such methods as composting and recycling materials.,"nation, station, causation, creation, citation, crustacean, dalmation, donation, elation, formation, frustration, foundation, duration, inflation, migration, space station, vacation",3,4,Middle School,
Physical,Matter,Cool,#N/A,"curel, dual, fool, fuel, ghoul, jewel, Joule, mule, pool, rule, school, spool, stool, tool, You'll, ",1,1,Middle School,6
Physical,Matter,Crystal,"solid in which the atoms are arranged in an orderly, repeating pattern.","Bristol, distal, pistil, pistol, brittle, fiscal, fissle, missle, simple, whistle, wistful, dismissal, initial",2,2,Middle School,
Physical,Matter,Density,measurement of the mass of an object divided by its volume.,"propensity, intensity, chemically, chemistry, dentistry, destiny, ecstasy, empathy, entropy, ethically, heavenly, jealocy, levity, medically, recipe, sensory, especially, ethnically, velvety, weaponry",3,3,Middle School,
Physical,Matter,Diamond,the degree of compactness of a substance (mass per volume),"chime in, climate, climbing, crying, flying, frightened, giant, highland, island, lineman, lining, rhyming, science, shining, silence, silent, stipend, siren, titan, timing, trying",2,2,Middle School,
Physical,Waves,Digital,#N/A,"Biblical, bridgeable, clinical, criminal, critical, cyclical, cynical, crypitcal, fictional, minimal, lyrical, mythical, physical, typical, shrinkable, visible, pinnacle",3,3,Middle School,
Phsyical,Forces,Electric,#N/A,"concentric, domestic, eccentric, elected, expected, genetic, knetic, magnetic, perspective, poetic, rejected, protected, spectrum, metric, ",3,3,Middle School,
Physical,Energy,Electric,#N/A,"concentric, domestic, eccentric, elected, expected, genetic, knetic, magnetic, perspective, poetic, rejected, protected, spectrum, metric, ",3,3,Middle School,
Physical,Matter,Energy,The capacity of a body or system to do work,"enemy, centrally, cleverly, effigy, elderly, entropy, elegy, generally, memory, jeopardy",2,3,Middle School,6
Physical,Energy,Energy,The capacity of a body or system to do work,"enemy, centrally, cleverly, effigy, elderly, entropy, elegy, generally, memory, jeopardy",2,3,Middle School,
Physical,Waves,Energy,The capacity of a body or system to do work,"enemy, centrally, cleverly, effigy, elderly, entropy, elegy, generally, memory, jeopardy",2,3,Middle School,
Phsyical,Forces,Field,#N/A,"healed, sealed, shield, wield, yield, revealed, congealed, concealed, ",1,1,Middle School,
Physical,Matter,Flammable,#N/A,"actual, animal, basketball, cannibal, capital, clavicle, fallible, fashionable, magical, mandible, national, practical, radical, rational, taxable, tangible, valuable, compatible",3,3,Middle School,
Physical,Matter,Food,#N/A,"brood, chewed, brewed, dude, crude, feud, glued, mood, rude, skewed, stewed, sued, viewed, you'd",1,1,Middle School,
Phsyical,Forces,Force,#N/A,"coarse, course, hoarse, horse, source, Morse, Norse, enforce, indorse, courts, shorts",1,1,Middle School,8
Physical,Waves,Frequency,#N/A,"ceaselessly, decency, decently, easily, equally, frequently, gleefully, legally, recently, secretly, sneakily, speedily",3,3,Middle School,
Physical,Matter,Fuel,#N/A,"cool, curel, dual, fool, ghoul, jewel, Joule, mule, pool, rule, school, spool, stool, tool, You'll, ",1,1,Middle School,
Physical,Matter,Gas,#N/A,"brass, class, glass, grass, mass, pass, sass, amass, alas, ",1,1,Middle School,
Physical,Waves,Glass,#N/A,"brass, class, gas, grass, mass, pass, sass, amass, alas, ",1,1,Middle School,
Physical,Energy,Gravitational,#N/A,"sensational, vocational, confrontational, inspirational, , capable, changeable, favorable, available, debatable, attainable, explainable, incapable, occasional",3,5,Middle School,
Phsyical,Forces,Gravity,attractive force between two objects that depends on the masses of the objects and the distance between them.,"mad at me, sad to see, cavity, actively, alchemy, apathy, casually, cavalry, drastically, graphically, magically, panicky, rationally, randomly, travesty, vanity",3,3,Middle School,8
Pysical,Matter,Heat,thermal energy that flows from a warmer material to a cooler material.,"beat, beet, bleat, cheat, cleat, eat, feat, feet, fleet, greet, meat, meet, neat, peat, pleat, seat, sheet, sleet, street, suite, sweet, treat, tweet, wheat",1,1,Middle School,6
Physical,Matter,Helium,#N/A,"cesium, medium, premium, stadium, tedium, comedian, median, Bohemian, bacterium, delerium, obedient, hemophilia, paramecium",3,3,Middle School,
Physical,Energy,Ice,#N/A,"dice, gneiss, mice, nice, price, rice, slice, spice, splice, trice, twice, vice, vise, size, lights",1,1,Middle School,
Physical,Waves,Information,#N/A,"causation, nation, station, causation, citation, creation, donation, elation, dalmation, filtration, formation, migration, narration, probation, space station, starvation, vacation, translation, vibration",3,4,Middle School,
Physical,Energy,Insulated,#N/A,"dated, fated, hated, mated, rated, slated, stated, weighted, waited, awaited, belated, created, deflated, outdated, related, translated",3,4,Middle School,
Physical,Matter,Insulation,#N/A,"causation, nation, station, causation, citation, creation, donation, elation, dalmation, filtration, formation, migration, narration, probation, space station, starvation, vacation, translation, vibration",3,4,Middle School,6
