Vocab Word,Definition
abiotic,"nonliving, physical features of the environment, including air, water, sunlight, soil, temperature, and climate."
abrasion,"a type of erosion that occurs when windblown sediments strike rocks and sediments, polishing and pitting their surface."
absolute age,"age, in years, of a rock or other object; can be determined by using properties of the atoms that make up materials."
absolute magnitude,measure of the amount of light a star actually gives off.
abyssal plain,"flat seafloor area from 4,000 m to 6,000 m below the ocean surface, formed by the deposition of sediments."
acceleration,rate of change of velocity; can be calculated by dividing the change in the velocity by the time it takes the change to occur.
acid precipitation,"precipitation with a pH below 5.6—which occurs when air pollutants from the burning of fossil fuels react with water in the atmosphere to form strong acids that can pollute water, kill fish and plants, and damage soils."
acid rain,"acidic moisture, with a pH below 5.6, that falls to Earth as rain or snow and can damage forests, harm organisms, and corrode structures."
acid,substance with a pH lower than 7.
acoustics,the study of sound.
active immunity,long-lasting immunity that results when the body makes its own antibodies in response to a specific antigen.
active transport,energy-requiring process in which transport proteins bind with particles and move them through a cell membrane.
adaptation,any structural or behavioral change that helps an organism survive in its particular environment.
aerobe,any organism that uses oxygen for respiration.
aggression,"forceful behavior, such as fighting, used by an animal to control or dominate another animal in order to protect their young, defend territory, or get food."
air mass,large body of air that has the same characteristics of temperature and moisture content as the part of Earth’s surface over which it formed.
air resistance,force that opposes the motion of objects that move through the air.
alcohol,"compound, such as ethanol, that is formed when 2OH groups replace one or more hydrogen atoms in a hydrocarbon."
algae,"chlorophyll-containing, plantlike protists that produce oxygen as a result of photosynthesis."
allele,an alternate form that a gene may have for a single trait; can be dominant or recessive.
allergen,substance that causes an allergic reaction.
allergy,overly strong reaction of the immune system to a foreign substance.
allotropes,different forms of the same element having different molecular structures.
alloy,a mixture of elements that has metallic properties.
alpha particle,particle consisting of two protons and two neutrons that is emitted from a decaying atomic nucleus.
alternating current (AC),electric current that reverses its direction of flow in a regular pattern.
alveoli,"tiny, thin-walled, grapelike clusters at the end of each bronchiole that are surrounded by capillaries; carbon dioxide and oxygen exchange takes place."
amino acid,building block of protein.
amniotic sac,"thin, liquid-filled, protective membrane that forms around the embryo."
amniotic egg,"egg covered with a shell that provides a complete environment for the embryo’s development; for reptiles, a major adaptation for living on land."
amplitude,a measure of the energy carried by a wave.
anaerobe,any organism that is able to live without oxygen.
angiosperms,flowering vascular plants that produce fruits containing one or more seeds; monocots and dicots.
antibiotics,chemicals produced by some bacteria that are used to limit the growth of other bacteria.
antibody,a protein made in response to a specific antigen that can attach to the antigen and cause it to be useless.
antigen,any complex molecule that is foreign to your body.
anus,opening at the end of the digestive tract through which wastes leave the body.
apparent magnitude,measure of the amount of light from a star that is received on Earth.
appendages,"jointed structures of arthropods, such as legs, wings, or antennae."
aquifer,layer of permeable rock that allows water to flow through.
artery,"blood vessel that carries blood away from the heart, and has thick, elastic walls made of connective tissue and smooth muscle tissue."
asexual reproduction,"a type of reproduction—fission, budding, and regeneration—in which a new organism is produced from one organism and has DNA identical to the parent organism."
asteroid,a piece of rock or metal made up of material similar to that which formed the planets; mostly found in the asteroid belt between the orbits of Mars and Jupiter.
asthenosphere,plasticlike layer of Earth on which the lithospheric plates float and move around.
