NGSS Topic,"Subtopics: 
MOLECULES TO CELLS
ORGANISMS
ECOSYSTEMS
HEREDITY
EVOLUTION",Word,Definition,NEW COLUMN - THREE RHYMES ONLY,Level of Difficulty,Number of Syllables,Broad Grade Level,SFUSD Grade
Life,Ecosystems,Abiotic,"nonliving, physical features of the environment, including air, water, sunlight, soil, temperature, and climate.","all aquatic, symbiotic, log is rotten",3,4,Middle School,
Life,Ecosystems,Abundant,existing or available in large quantities,"redundant, judgement, get funded",3,4,Middle School,
Life,Evolution,Adapt,to adjust to new conditions,"relax, it snapped, it flapped",2,2,Middle School
Life,Ecosystems,Algae,"chlorophyll-containing, plantlike protists that produce oxygen as a result of photosynthesis.","valley, finale, rally",3,4,Middle School,7
Life,Heredity,Allele,an alternate form that a gene may have for a single trait; can be dominant or recessive.,"conceal, reveal, surreal",2,2,Middle School,6
Life,Evolution,Anatomy,the branch of science concerned with bodily structure,"academy, vanity, malady",3,4,Middle School,
Life,Organisms,Animal,a living organism that feeds on organic matter,"actual, valuable, mackeral",3,3,Middle School,6
Life,Molecules to Cells,Archaea,A  kingdom of single-celled organisms (distinct from bacteria),"dark lair, rock layer, everywhere",3,3,Middle School,6
Life,Organisms,Artery,"blood vessel that carries blood away from the heart, and has thick, elastic walls made of connective tissue and smooth muscle tissue.","part of me, archery, shopping spree",3,3,Middle School,6
Life,Evolution,Artificial,Artifiical selection - when humans selectively breed plants or animals for certain traits,"superficial, very little, beneficial",3,4,Middle School,
Life,"Molecules to Cells, Heredity",Asexual,"a reproductive strategy that requires no mates, and leads to clones","conceptual, consensual, eventual",3,4,Middle School,6
Life,Molecules to Cells,Bacteria,unicellular organisms that dominate the earth in their numbers and diversity (if not their size),"diptheria, cafeteria, superior",3,4,Middle School,6
Life,Organisms,Behavior,the way in which an organism interacts with other organisms and its environment; can be innate or learned.,"equator, inhaler, in nature",3,3,Middle School,6
Life,Ecosystems,Biodiversity,a variety of life in a habitat or ecosystem,"facing adversity, i know it perfectly, flying with urgency",3,6,Middle School,7
Life,Organisms,Body ,the physical structure of a person or animal,"coffee, hobby, potty",2,2,Middle School,6
Life,Evolution,Bone,"a hard, white piece of tissue that makes up the skeleton of humans and animals","clone, zone, phone",1,1,Middle School,
Life,Organisms,Brain,The largest and most complex organ in the human body.,"chain, grain, strain",1,1,Middle School,6
Life,Ecosystems,Carbon,"It's got four valence electrons, likes to form stable molecules, and is the basis for all of life on Earth.","sharpen, darken, Darwin",1,2,Middle School,7
Life,Molecules to Cells,Cell,smallest unit of an organism that can carry on life functions.,"shell, swell, well",1,1,Middle School,6
Life,Molecules to Cells,Cell Wall,"rigid structure that encloses, supports, and protects the cells of plants, algae, fungi, and most bacteria.","tell all, lysol, menthol",2,2,Middle School,6
Life,Evolution,Change,"When the environment changes, populations often change with it via natural selection (or go extinct)","range, strange, exchange",1,1,Middle School,
Life,Ecosystems,Chemistry,the study of the the substances from which matter is made and interactions between them,"medically, recipe, weaponry",3,3,Middle School,7
Life,Molecules to Cells,Chloroplast,"green, chlorophyll-containing, plant-cell organelle that uses light energy to produce sugar from carbon dioxide and water.","boarding pass, storage rack, floral mass",3,3,Middle School,6
Life,"Molecules to Cells, Heredity",Chromosome,structure in a cell’s nucleus that contains hereditary material.,"comatose, storage zone, own genome",3,3,Middle School,6
Life,Organisms,Circulatory,relating to the circulation of blood or sap,"circular story, certainly gory, sturdily storing",3,5,Middle School,6
Life,Ecosystems,Community,all the populations of different species that live in an ecosystem.,"you and me, opportunity, usefully",3,4,Middle School,
Life,Ecosystems,Competitive,"When two organisms compete for food in the same ecological niche, it can be fierce","negative, relative, repetitive",3,4,Middle School,
Life,Ecosystems,Consumer,organism that cannot create energy-rich molecules but obtains its food by eating other organisms.,"maneuver, the sewer, computer",3,3,Middle School,
Life,Ecosystems,Cycle,Atoms that make up organisms are cycled through living and non-living things ,"vital, spinal, tidal",2,2,Middle School,7
Life,Evolution,Darwin,Charles Darwin popularized natural selection as a mechanism for evolution. Much of his data game from the Galapagos.,"carbon, sharpen, starvin'",2,2,Middle School,
Life,Ecosystems,Decomposer,"an organism, especially a soil bacterium, fungus, or invertebrate, that decomposes organic material","even lower, lead to solar, creeping closer",3,4,Middle School,
Life,Organisms,Digestive,relating to the process of digesting food,"suggestive, impressive, intestine",3,3,Middle School,6
Life,Ecosystems,Disturbed,having had its normal pattern or function disrupted,"preserved, concerned, emerged",2,2,Middle School,7
Life,Evolution,Diversity,having a great deal of variety,"adversity, perfectly, urgency",3,4,Middle School,
Life,Ecosystems,Drought,a long period of unusually low rainfall,"spout, shout, sprout",1,1,Middle School,6
Life,Ecosystems,Eat,Heterotrophs get their energy and matter by eating other lving things,"bleat, heat, sweet",1,1,Middle School,7
Life,Ecosystems,Ecosystem,all the living organisms that live in an area and the nonliving features of their environment.,"Eco Wisdom, we don't list 'em, legal mission",3,4,Middle School,7
Life,Evolution,Embryo,fertilized egg that has attached to the wall of the uterus.,"let it go, scenario, stereo",3,3,Middle School,
Life,"Ecosystems, organisms",Energy,The capacity of a body or system to do work,"enemy, centrally, elderly",3,3,Middle School,7
Life,Ecosystems,Environment,"the conditions in which a person, animal, or plant lives or operates.","violent, scientist, retirement",3,4,Middle School,6
Life,Molecules to Cells,Eukaryotic,Cells that have a nucleus. Like plants and animals and fungi.,"you're very toxic, usually chaotic, bloom in aquatic",3,5,Middle School,6
Life,Evolution,Extinction,"the condition of a species, family, or larger group having no living members","it sinks in, delinquent, in Kingston",3,3,Middle School,
Life,Ecosystems,Fertilizer,chemical that helps plants and other organisms grow.,"burning fire, early riser, equalizer",3,4,Middle School,6
Life,Ecosystems,Fish,Fish grow larger in large ponds than in small ponds - an exmaple of gene X environment interaction,"niche, squish, dish",1,1,Middle School,6
Life,Ecosystems,Flow,to move continuosly in a current or stream,"low, slow, snow",1,1,Middle School,7
Life,Ecosystems,Flower,the seed-bearing part of a plant,"power, powder, shower",2,2,Middle School,6
Life,Ecosystems,Food,Animals eat it. It gives you energy and matter.,"chewed, crude, rude",1,1,Middle School,6
Life,Ecosystems,Food Web,model that shows the complex feeding relationships among organisms in a community.,"two step, inCLUDED, chewed it",1,2,Middle School,7
Life,Evolution,Fossil,the remains or impression of a prehistoric living organism in rock,"collosal, awful, topple",2,2,Middle School,
Life,Heredity,Function,an activity or purpose that is natural to or intended for a person or thing,"junction, suction, construction",2,2,Middle School,
Life,Heredity,Gene,section of DNA on a chromosome that contains instructions for making specific proteins.,"queen, spleen, protein",1,1,Middle School,
Life,Heredity,Generation,Natural selection acts over many generations,"acceleration, reparations, next mutation",3,4,Middle School,
Life,Molecules to Cells,Genes,A stretch of DNA that is passed down from parent to offspring,"memes, screens, machines",1,1,Middle School,6
Life,Heredity,Genetics,the study of how traits are inherited through the actions of alleles.,"athletics, aesthetics, diabetics",3,3,Middle School,6
Life,Ecosystems,Geology,"the study of the Earth's physical structure and substance, its history, and the processes that act on it.","apology, chronology, ecology",3,4,Middle School,7
Life,Organisms,Germ,a portion of an organism capable of developing into a new one or part of one; like an embryo in a grain seed,"worm, burn, urn",1,1,Middle School,6
Life,Evolution,GMO,Genetically modified organism; an organism whose genetic material has been altered using genetic engineering techniques,"need to know, knees and toes, believe it's so",3,3,Middle School,
Life,Organisms,Growth,the process of increasing in physical size,"both, goat, coat",1,1,Middle School,6
Life,Heredity,Harm,Some mutations to genes can cause harm,"arm, alarm, warm",1,1,Middle School,
Life,Organisms,Heart,A muscular organ that pumps your blood,"chart, smart, restart",1,1,Middle School,6
Life,Ecosystems,Humans,Our species; a human being distinguished from an animal or alien,"looming, movement, mutant",2,2,Middle School,
Life,Heredity,Inherit,We inherit traits from our parents - good and bad,"through parents, embarassed, generic",3,3,Middle School,6
Life,Heredity,Inheritance,Genes are our inheritance from our parents.,"relatives, intelligence, arrogance",3,4,Middle School,6
Life,Organisms,Interact,to act in a way that has an effect on another,"they attract, Sister Act, will contract",3,3,Middle School,6
Life,Organisms,Kidney,"bean-shaped urinary system organ that is made up of about 1 million nephrons and filters blood, producing urine.","filter pee, hit me, Disney",2,2,Middle School,6
Life,Evolution,Layer,rock layers display fossils in chronological order,"surveyer, greater, prayer",2,2,Middle School,
Life,Evolution,Life,"the capacity for growth, reproduction, functional activity, and continual change preceding death, distinguishing plants and animals from inorganic material","strife, wife, splice",1,1,Middle School,
Life,Ecosystems,Light,"When light shines on an object, it is reflected, absorbed, or transmitted. Light can be modeled as a wave or as a particle.","sight, night, satellite",1,1,Middle School,6
Life,Ecosystems,Living,the state of being alive,"swimming, beginning, giving",2,2,Middle School,7
Life,Organisms,Lung,Amazing elastic sacs that allow you to breathe,"respiraTION, oxyGEN, RUN",1,1,Middle School,6
